english_term,greek_term,category,subcategory,difficulty_level,clinical_relevance,related_terms,synonyms,definition,definition_gr
breath sounds,αναπνευστικοί ήχοι,physiology,,basic,high,crackles; wheezes,lung sounds,"Breath sounds are the noises produced by air moving through the respiratory tract, heard during auscultation of the lungs (e.g., vesicular breathing or abnormal sounds).",Οι αναπνευστικοί ήχοι είναι οι θόρυβοι που παράγονται από τον αέρα καθώς κινείται μέσω του αναπνευστικού σωλήνα και ακούγονται κατά την ακρόαση των πνευμόνων (π.χ. φυσιολογικός φυσαλιδώδης ήχος ή παθολογικοί ήχοι).
crackles,ρόγχοι υγροί,physiology,,intermediate,medium,breath sounds; pneumonia,rales,"Crackles (rales) are abnormal breath sounds characterized by popping or crackling noises, often heard in the lungs of patients with fluid in the airways (e.g., pneumonia):contentReference[oaicite:53]{index=53}.","Οι υγροί ρόγχοι είναι παθολογικοί αναπνευστικοί ήχοι που χαρακτηρίζονται από ήχο κριτσανίσματος ή τριξίματος, και συχνά ακούγονται στους πνεύμονες ασθενών με υγρό στους αεραγωγούς (π.χ. σε πνευμονία)."
wheezes,ρόγχοι ξηροί,physiology,,intermediate,medium,asthma; breath sounds,wheezing,"Wheezes are high-pitched whistling breath sounds caused by narrowed airways, commonly heard in conditions like asthma:contentReference[oaicite:54]{index=54}.","Οι ξηροί ρόγχοι είναι υψηλοί συριγμοί κατά την αναπνοή που προκαλούνται από στένωση των αεραγωγών, και συνήθως ακούγονται σε καταστάσεις όπως το άσθμα."
heart murmur,καρδιακό φύσημα,physiology,,basic,medium,valve disease; bruit,murmur,"A heart murmur is an abnormal sound heard during heartbeat, often as a whooshing or swishing noise, caused by turbulent blood flow across heart valves:contentReference[oaicite:55]{index=55}.","Το καρδιακό φύσημα είναι ένας ανώμαλος ήχος που ακούγεται κατά τον καρδιακό παλμό, συχνά ως θόρυβος συριγμού ή φύσηματος, που προκαλείται από τυρβώδη ροή αίματος δια μέσου των καρδιακών βαλβίδων."
cough,βήχας,physiology,,basic,high,respiratory infection,,"A cough is a reflex action to clear the airways of mucus, irritants, or foreign particles; it is a common symptom of respiratory irritation or infection.","Ο βήχας είναι μια αντανακλαστική ενέργεια για την απομάκρυνση βλέννας, ερεθιστικών ουσιών ή ξένων σωματιδίων από τους αεραγωγούς· αποτελεί κοινό σύμπτωμα αναπνευστικού ερεθισμού ή λοίμωξης."
dyspnea,δύσπνοια,physiology,,basic,high,cyanosis; orthopnea,shortness of breath,"Dyspnea is the sensation of difficulty or uncomfortable breathing, often described as shortness of breath, and can occur with exertion or at rest:contentReference[oaicite:56]{index=56}.","Η δύσπνοια είναι η αίσθηση δυσκολίας ή άβολης αναπνοής, συχνά περιγράφεται ως λαχάνιασμα, και μπορεί να συμβεί κατά την άσκηση ή σε ηρεμία."
nystagmus,νυσταγμός,physiology,,advanced,medium,vestibular system,,"Nystagmus is an involuntary, rapid, rhythmic movement of the eyes, which can be horizontal, vertical or rotary, often indicating neurological or vestibular dysfunction:contentReference[oaicite:57]{index=57}.","Ο νυσταγμός είναι μια ακούσια, ταχεία, ρυθμική κίνηση των οφθαλμών, η οποία μπορεί να είναι οριζόντια, κάθετη ή στροφική, και συχνά υποδηλώνει νευρολογική ή αιθουσαία διαταραχή:contentReference[oaicite:58]{index=58}."
miosis,μύση,physiology,,advanced,medium,pupillary reflex; mydriasis,pupil constriction,"Miosis is the constriction of the pupil of the eye, making it smaller; it can be a normal response to bright light or due to certain drugs or neurological conditions:contentReference[oaicite:59]{index=59}.","Η μύση είναι η στένωση της κόρης του οφθαλμού, κάνοντάς την μικρότερη· μπορεί να είναι φυσιολογική απόκριση σε έντονο φως ή να οφείλεται σε ορισμένα φάρμακα ή νευρολογικές καταστάσεις:contentReference[oaicite:60]{index=60}."
mydriasis,μυδρίαση,physiology,,advanced,medium,pupillary reflex; miosis,pupil dilation,"Mydriasis is the dilation of the pupil of the eye (pupil enlargement), which occurs in low light conditions or due to certain medications or injuries:contentReference[oaicite:61]{index=61}.","Η μυδρίαση είναι η διαστολή της κόρης του οφθαλμού (διεύρυνση της κόρης), που συμβαίνει σε συνθήκες χαμηλού φωτισμού ή λόγω ορισμένων φαρμάκων ή τραυματισμών:contentReference[oaicite:62]{index=62}."
oxygen saturation,κορεσμός οξυγόνου,physiology,,basic,high,cyanosis; hypoxia,O2 saturation,Oxygen saturation is the percentage of hemoglobin binding sites in the bloodstream occupied by oxygen (normal arterial O2 saturation is typically 95-100%).,Ο κορεσμός οξυγόνου είναι το ποσοστό των θέσεων δέσμευσης της αιμοσφαιρίνης στην κυκλοφορία του αίματος που καταλαμβάνονται από οξυγόνο (φυσιολογικά η αρτηριακή οξυγόνωση είναι 95-100%).
glomerular filtration rate,ρυθμός σπειραματικής διήθησης,physiology,,advanced,medium,kidney function,GFR,"Glomerular filtration rate (GFR) is the rate at which the kidneys filter blood through the glomeruli, usually measured in mL/min; it is a key indicator of renal function:contentReference[oaicite:63]{index=63}.","Ο ρυθμός σπειραματικής διήθησης (GFR) είναι ο ρυθμός με τον οποίο οι νεφροί φιλτράρουν το αίμα μέσω των σπειραμάτων, συνήθως μετράται σε mL/min· αποτελεί βασικό δείκτη της νεφρικής λειτουργίας:contentReference[oaicite:64]{index=64}."
oliguria,ολιγουρία,physiology,,intermediate,medium,urine output; renal failure,low urine output,"Oliguria is the production of an abnormally small amount of urine, often defined as less than 400 mL of urine output per day in adults:contentReference[oaicite:65]{index=65}.","Η ολιγουρία είναι η παραγωγή ασυνήθιστα μικρής ποσότητας ούρων, συχνά ορίζεται ως λιγότερο από 400 mL ούρων την ημέρα στους ενήλικες:contentReference[oaicite:66]{index=66}."
polyuria,πολυουρία,physiology,,intermediate,medium,diabetes mellitus,excessive urination,"Polyuria is the production of an abnormally large volume of urine, typically above 3 liters per day in adults, and can be a symptom of conditions like diabetes:contentReference[oaicite:67]{index=67}.","Η πολυουρία είναι η παραγωγή ασυνήθιστα μεγάλου όγκου ούρων, συνήθως πάνω από 3 λίτρα την ημέρα στους ενήλικες, και μπορεί να αποτελεί σύμπτωμα καταστάσεων όπως ο διαβήτης:contentReference[oaicite:68]{index=68}."
hematuria,αιματουρία,physiology,,intermediate,medium,urinary tract infection; kidney stones,blood in urine,"Hematuria is the presence of blood in the urine, which can be visible (gross hematuria) or microscopic; it is a sign of urinary tract pathology.","Η αιματουρία είναι η παρουσία αίματος στα ούρα, η οποία μπορεί να είναι ορατή (μακροσκοπική αιματουρία) ή μικροσκοπική· αποτελεί ένδειξη παθολογίας του ουροποιητικού συστήματος."
pain,πόνος,physiology,,basic,high,nociception,ache,Pain is an unpleasant sensory and emotional experience associated with actual or potential tissue damage. It serves as a protective mechanism indicating something is wrong.,"Ο πόνος είναι μια δυσάρεστη αισθητική και συναισθηματική εμπειρία που σχετίζεται με πραγματική ή δυνητική ιστική βλάβη. Λειτουργεί ως προστατευτικός μηχανισμός, υποδεικνύοντας ότι κάτι δεν πάει καλά."
referred pain,αντανακλαστικός πόνος,physiology,,advanced,medium,nerve pathways,reflected pain,"Referred pain is pain perceived at a location other than the site of the painful stimulus, due to networked nerve pathways (e.g., shoulder pain from diaphragmatic irritation):contentReference[oaicite:69]{index=69}.","Ο αντανακλαστικός πόνος είναι πόνος που γίνεται αντιληπτός σε σημείο διαφορετικό από εκείνο του ερεθίσματος που τον προκάλεσε, λόγω διασυνδεδεμένων νευρικών οδών (π.χ. πόνος στον ώμο από ερεθισμό του διαφράγματος):contentReference[oaicite:70]{index=70}."
syncope,συγκοπή,physiology,,intermediate,medium,hypotension,fainting,"Syncope is a temporary loss of consciousness (fainting) caused by a sudden drop in blood flow to the brain, often due to hypotension.","Η συγκοπή είναι μια παροδική απώλεια συνείδησης (λιποθυμία) που προκαλείται από αιφνίδια μείωση της ροής αίματος προς τον εγκέφαλο, συχνά λόγω υπότασης."
inspection,επισκόπηση,procedures,Physical examination,basic,high,palpation; auscultation,observational exam,"Inspection is the first step of physical examination, involving careful visual observation of the patient for any signs of disease or abnormality:contentReference[oaicite:71]{index=71}.","Η επισκόπηση είναι το πρώτο βήμα της φυσικής εξέτασης, περιλαμβάνοντας προσεκτική οπτική παρατήρηση του ασθενούς για τυχόν σημεία νόσου ή ανωμαλίας:contentReference[oaicite:72]{index=72}."
palpation,ψηλάφηση,procedures,Physical examination,basic,high,inspection; percussion,touch examination,"Palpation is a physical examination technique in which the examiner uses their hands to feel the body (e.g., organs, masses, tenderness) to detect abnormalities:contentReference[oaicite:73]{index=73}.","Η ψηλάφηση είναι μια τεχνική κλινικής εξέτασης κατά την οποία ο εξεταστής χρησιμοποιεί τα χέρια του για να αισθανθεί το σώμα (π.χ. όργανα, μάζες, ευαισθησίες) ώστε να εντοπίσει ανωμαλίες:contentReference[oaicite:74]{index=74}."
percussion,επίκρουση,procedures,Physical examination,basic,high,auscultation; palpation,tapping examination,"Percussion is a clinical examination method where the examiner taps on the surface of the body to produce sounds, helping to determine the condition of internal organs (e.g., detecting fluid or solid masses):contentReference[oaicite:75]{index=75}.","Η επίκρουση είναι μια μέθοδος κλινικής εξέτασης κατά την οποία ο εξεταστής κρούει την επιφάνεια του σώματος για να παραγάγει ήχους, βοηθώντας στον προσδιορισμό της κατάστασης των εσωτερικών οργάνων (π.χ. ανίχνευση υγρού ή συμπαγών μαζών):contentReference[oaicite:76]{index=76}."
auscultation,ακρόαση,procedures,Physical examination,basic,high,percussion; breath sounds,listening with stethoscope,"Auscultation is the act of listening to the internal sounds of the body, usually using a stethoscope, such as heartbeats, lung breaths, or bowel sounds:contentReference[oaicite:77]{index=77}.","Η ακρόαση είναι η πράξη ακρόασης των εσωτερικών ήχων του σώματος, συνήθως με τη χρήση στηθοσκοπίου, όπως οι καρδιακοί παλμοί, οι αναπνευστικοί ήχοι ή οι εντερικοί ήχοι:contentReference[oaicite:78]{index=78}."
digital rectal examination,δακτυλική εξέταση ορθού,procedures,Physical examination,basic,high,prostate exam; rectum,DRE,Digital rectal examination (DRE) is a procedure where a healthcare provider inserts a lubricated gloved finger into the rectum to palpate for abnormalities in organs like the prostate or rectal wall:contentReference[oaicite:79]{index=79}.,Η δακτυλική εξέταση του ορθού είναι μια διαδικασία κατά την οποία ο γιατρός εισάγει ένα λιπασμένο γαντοφορεμένο δάκτυλο στο ορθό για να ψηλαφήσει ανωμαλίες σε όργανα όπως ο προστάτης ή το τοίχωμα του ορθού:contentReference[oaicite:80]{index=80}.
vaginal examination,κολπική εξέταση,procedures,Physical examination,basic,high,pelvic exam,bimanual exam,"A vaginal examination is a procedure where a healthcare provider examines the vagina and cervix, often using a speculum and gloved hand, to assess gynecological health:contentReference[oaicite:81]{index=81}.","Η κολπική εξέταση είναι μια διαδικασία κατά την οποία ο γιατρός εξετάζει τον κόλπο και τον τράχηλο, συχνά χρησιμοποιώντας κολποδιαστολέα και γαντοφορεμένο χέρι, για να αξιολογήσει τη γυναικολογική υγεία:contentReference[oaicite:82]{index=82}."
biopsy,βιοψία,procedures,Diagnostic procedure,basic,high,histology,,"A biopsy is a diagnostic procedure involving the removal of a small sample of tissue from the body for examination under a microscope, to help diagnose disease (e.g., lymph node biopsy):contentReference[oaicite:83]{index=83}.","Η βιοψία είναι μια διαγνωστική διαδικασία που περιλαμβάνει την αφαίρεση ενός μικρού δείγματος ιστού από το σώμα για εξέταση στο μικροσκόπιο, βοηθώντας στη διάγνωση ασθενειών (π.χ. βιοψία λεμφαδένα):contentReference[oaicite:84]{index=84}."
ultrasound scan,υπερηχογράφημα,procedures,Imaging,basic,high,CT scan; MRI,sonography,"An ultrasound scan is an imaging procedure that uses high-frequency sound waves to create live images of internal organs or fetuses, commonly used because it is non-invasive and radiation-free.","Το υπερηχογράφημα είναι μια απεικονιστική διαδικασία που χρησιμοποιεί ηχητικά κύματα υψηλής συχνότητας για να δημιουργήσει ζωντανές εικόνες εσωτερικών οργάνων ή εμβρύων, και χρησιμοποιείται ευρέως επειδή είναι μη επεμβατικό και χωρίς ακτινοβολία."
X-ray imaging,ακτινογραφία,procedures,Imaging,basic,high,CT scan,radiography,"X-ray imaging (radiography) is a diagnostic procedure that uses X-rays to produce images of structures inside the body, especially useful for visualizing bones and chest organs.","Η ακτινογραφία είναι μια διαγνωστική διαδικασία που χρησιμοποιεί ακτίνες Χ για να παράγει εικόνες των δομών μέσα στο σώμα, ιδιαίτερα χρήσιμη για την απεικόνιση οστών και οργάνων του θώρακα."
computed tomography,αξονική τομογραφία,procedures,Imaging,basic,high,X-ray,CT scan,Computed tomography (CT scan) is an imaging procedure that uses a series of X-ray measurements taken from different angles and computer processing to create cross-sectional images of the body.,Η αξονική τομογραφία (CT) είναι μια απεικονιστική διαδικασία που χρησιμοποιεί μια σειρά ακτινογραφικών λήψεων από διαφορετικές γωνίες και υπολογιστική επεξεργασία για να δημιουργήσει εγκάρσιες τομές του σώματος.
magnetic resonance imaging,μαγνητική τομογραφία,procedures,Imaging,basic,high,CT scan,MRI,"Magnetic resonance imaging (MRI) is an imaging technique that uses strong magnetic fields and radio waves to generate detailed images of organs and tissues, without using ionizing radiation.","Η μαγνητική τομογραφία (MRI) είναι μια τεχνική απεικόνισης που χρησιμοποιεί ισχυρά μαγνητικά πεδία και ραδιοκύματα για να δημιουργήσει λεπτομερείς εικόνες οργάνων και ιστών, χωρίς τη χρήση ιοντίζουσας ακτινοβολίας."
endoscopy,ενδοσκόπηση,procedures,Diagnostic procedure,basic,high,gastroscopy; colonoscopy,,"Endoscopy is a procedure where a flexible tube with a camera (endoscope) is inserted into the body (through mouth, rectum, etc.) to visualize internal organs like the gastrointestinal tract.","Η ενδοσκόπηση είναι μια διαδικασία κατά την οποία ένας εύκαμπτος σωλήνας με κάμερα (ενδοσκόπιο) εισάγεται στο σώμα (μέσω του στόματος, του ορθού κλπ.) για την απεικόνιση εσωτερικών οργάνων όπως ο γαστρεντερικός σωλήνας."
colonoscopy,κολονοσκόπηση,procedures,Diagnostic procedure,intermediate,high,endoscopy,,"Colonoscopy is an endoscopic examination of the colon (large intestine) using a colonoscope inserted through the rectum, used to detect abnormalities like polyps or cancers.","Η κολονοσκόπηση είναι μια ενδοσκοπική εξέταση του παχέος εντέρου με χρήση κολονοσκοπίου που εισάγεται μέσω του ορθού, και χρησιμοποιείται για τον εντοπισμό ανωμαλιών όπως οι πολύποδες ή ο καρκίνος."
gastroscopy,γαστροσκόπηση,procedures,Diagnostic procedure,intermediate,high,endoscopy,upper endoscopy,"Gastroscopy is an endoscopic procedure to visualize the interior of the stomach and duodenum, using an endoscope passed through the mouth.","Η γαστροσκόπηση είναι μια ενδοσκοπική διαδικασία για την επισκόπηση του εσωτερικού του στομάχου και του δωδεκαδακτύλου, με τη χρήση ενδοσκοπίου που περνά μέσω του στόματος."
surgery,χειρουργική επέμβαση,procedures,Surgical procedure,basic,high,laparotomy; laparoscopy,operation,"Surgery is a medical procedure involving an incision with instruments to repair, remove, or replace a part of the body or treat disease.","Η χειρουργική επέμβαση είναι ιατρική διαδικασία που περιλαμβάνει τομή με εργαλεία για την αποκατάσταση, αφαίρεση ή αντικατάσταση μέρους του σώματος ή τη θεραπεία μιας νόσου."
laparoscopy,λαπαροσκόπηση,procedures,Surgical procedure,intermediate,high,laparotomy,minimally invasive surgery,Laparoscopy is a minimally invasive surgical procedure in which operations in the abdomen are performed through small incisions using a camera and specialized instruments.,Η λαπαροσκόπηση είναι μια ελάχιστα επεμβατική χειρουργική διαδικασία κατά την οποία χειρουργικές επεμβάσεις στην κοιλιά εκτελούνται μέσω μικρών τομών με χρήση κάμερας και εξειδικευμένων εργαλείων.
injection,ένεση,procedures,Therapeutic procedure,basic,high,infusion,shot,"An injection is a procedure of administering a liquid (medication or vaccine) into the body using a syringe and needle, often intramuscularly or intravenously.","Η ένεση είναι η διαδικασία χορήγησης ενός υγρού (φαρμάκου ή εμβολίου) στο σώμα με χρήση σύριγγας και βελόνας, συχνά ενδομυϊκά ή ενδοφλέβια."
catheterization,καθετηριασμός,procedures,Medical procedure,intermediate,medium,cardiac catheterization; urinary catheter,,"Catheterization is the process of inserting a catheter (a thin flexible tube) into a body cavity or vessel, for example, inserting a urinary catheter into the bladder to drain urine.","Ο καθετηριασμός είναι η διαδικασία εισαγωγής ενός καθετήρα (λεπτού εύκαμπτου σωλήνα) σε μια κοιλότητα ή αγγείο του σώματος, για παράδειγμα, η εισαγωγή ουροκαθετήρα στην κύστη για παροχέτευση των ούρων."
intubation,διασωλήνωση,procedures,Emergency procedure,intermediate,high,ventilation,endotracheal intubation,"Intubation is a medical procedure where a tube is inserted into the trachea (windpipe) to maintain an open airway, often performed in anesthesia or emergency situations to assist breathing.","Η διασωλήνωση είναι ιατρική διαδικασία κατά την οποία ένας σωλήνας εισάγεται στην τραχεία για τη διατήρηση ανοιχτού αεραγωγού, που γίνεται συχνά στην αναισθησία ή σε επείγουσες καταστάσεις για υποβοήθηση της αναπνοής."
Valsalva maneuver,χειρισμός Valsalva,procedures,Clinical maneuver,advanced,medium,heart rate; ear pressure,,"The Valsalva maneuver is a forceful exhalation against a closed airway (e.g., closing the mouth and pinching the nose while blowing out) that affects heart rate and blood pressure, often used to test cardiac function or relieve ear pressure:contentReference[oaicite:85]{index=85}.","Ο χειρισμός Valsalva είναι μια δυναμική εκπνοή ενάντια σε κλειστό αεραγωγό (π.χ. κλείνοντας το στόμα και κρατώντας τη μύτη ενώ φυσάμε) που επηρεάζει τον καρδιακό ρυθμό και την αρτηριακή πίεση, χρησιμοποιείται συχνά για έλεγχο της καρδιακής λειτουργίας ή ανακούφιση πίεσης στα αυτιά:contentReference[oaicite:86]{index=86}."
physical examination,φυσική εξέταση,procedures,Clinical examination,basic,high,inspection; palpation; auscultation,clinical examination,"Physical examination is the process by which a medical professional investigates the body of a patient for signs of disease, typically using techniques like inspection, palpation, percussion, and auscultation:contentReference[oaicite:87]{index=87}.","Η φυσική εξέταση είναι η διαδικασία κατά την οποία ένας ιατρός εξετάζει το σώμα ενός ασθενούς για σημεία νόσου, χρησιμοποιώντας συνήθως τεχνικές όπως επισκόπηση, ψηλάφηση, επίκρουση και ακρόαση:contentReference[oaicite:88]{index=88}."
electrocardiogram,ηλεκτροκαρδιογράφημα,procedures,Diagnostic procedure,basic,high,heart rate,"ECG, EKG","An electrocardiogram (ECG) is a test that records the electrical activity of the heart over time using electrodes placed on the skin, helping to diagnose cardiac conditions.","Το ηλεκτροκαρδιογράφημα (ΗΚΓ) είναι μια εξέταση που καταγράφει την ηλεκτρική δραστηριότητα της καρδιάς με την πάροδο του χρόνου χρησιμοποιώντας ηλεκτρόδια τοποθετημένα στο δέρμα, βοηθώντας στη διάγνωση καρδιακών παθήσεων."
angiography,αγγειογραφία,procedures,Imaging,advanced,medium,catheterization,,"Angiography is an imaging procedure that involves injecting a contrast dye into blood vessels and taking X-ray images to visualize the vessels, often to detect blockages or aneurysms.","Η αγγειογραφία είναι μια απεικονιστική διαδικασία που περιλαμβάνει την έγχυση σκιαγραφικού υγρού στα αιμοφόρα αγγεία και τη λήψη ακτινογραφιών για την απεικόνιση των αγγείων, συχνά για τον εντοπισμό αποφράξεων ή ανευρυσμάτων."
echocardiography,ηχοκαρδιογράφημα,procedures,Imaging,intermediate,high,ultrasound; heart,cardiac ultrasound,"Echocardiography is an ultrasound-based imaging test of the heart, which produces images of heart structures and blood flow, used to evaluate heart function and detect abnormalities.","Το ηχοκαρδιογράφημα είναι μια εξέταση της καρδιάς με βάση τους υπερήχους, η οποία παράγει εικόνες των δομών της καρδιάς και της ροής του αίματος, και χρησιμοποιείται για την αξιολόγηση της καρδιακής λειτουργίας και τον εντοπισμό ανωμαλιών."
lumbar puncture,οσφυονωτιαία παρακέντηση,procedures,Diagnostic procedure,advanced,medium,cerebrospinal fluid,spinal tap,"Lumbar puncture (spinal tap) is a procedure where a needle is inserted into the lower spine (lumbar region) to collect cerebrospinal fluid for diagnostic testing, or to inject medications.",Η οσφυονωτιαία παρακέντηση είναι μια διαδικασία κατά την οποία μια βελόνα εισάγεται στη χαμηλή μοίρα της σπονδυλικής στήλης (οσφυϊκή περιοχή) για να συλλεχθεί εγκεφαλονωτιαίο υγρό για διαγνωστική εξέταση ή για την έγχυση φαρμάκων.
appendectomy,σκωληκοειδεκτομή,procedures,Surgical procedure,basic,high,appendicitis,appendix removal,"Appendectomy is the surgical removal of the vermiform appendix, usually performed to treat appendicitis.","Η σκωληκοειδεκτομή είναι η χειρουργική αφαίρεση της σκωληκοειδούς απόφυσης, που πραγματοποιείται συνήθως για τη θεραπεία της σκωληκοειδίτιδας."
cholecystectomy,χολοκυστεκτομή,procedures,Surgical procedure,basic,high,gallstones; gallbladder,gallbladder removal,"Cholecystectomy is the surgical removal of the gallbladder, commonly performed to treat gallstones or gallbladder inflammation (cholecystitis).","Η χολοκυστεκτομή είναι η χειρουργική αφαίρεση της χοληδόχου κύστης, που πραγματοποιείται συνήθως για τη θεραπεία της χολολιθίασης ή της φλεγμονής της χοληδόχου κύστης (χολοκυστίτιδα)."
Murphy's sign,σημείο Murphy,procedures,Clinical sign,intermediate,medium,cholecystitis; RUQ pain,,Murphy's sign is a clinical test for gallbladder disease where the patient experiences pain upon inhalation when the examiner palpates beneath the right costal margin (indicative of acute cholecystitis):contentReference[oaicite:89]{index=89}.,"Το σημείο Murphy είναι μια κλινική δοκιμασία για πάθηση της χοληδόχου κύστης, κατά την οποία ο ασθενής αισθάνεται πόνο κατά την εισπνοή όταν ο εξεταστής ψηλαφά κάτω από το δεξιό πλευρικό τόξο (ενδεικτικό οξείας χολοκυστίτιδας):contentReference[oaicite:90]{index=90}."
McBurney's point,σημείο McBurney,procedures,Clinical sign,intermediate,medium,appendicitis,,McBurney's point is a location on the abdomen (one-third the distance from the anterior superior iliac spine to the navel) where extreme tenderness indicates possible acute appendicitis:contentReference[oaicite:91]{index=91}.,Το σημείο McBurney είναι ένα σημείο στην κοιλιά (στο ένα τρίτο της απόστασης από την πρόσθια άνω λαγόνια άκανθα προς τον ομφαλό) όπου η έντονη ευαισθησία υποδηλώνει πιθανή οξεία σκωληκοειδίτιδα:contentReference[oaicite:92]{index=92}.
Rovsing's sign,σημείο Rovsing,procedures,Clinical sign,advanced,medium,appendicitis,,"Rovsing's sign is a clinical sign of appendicitis, where pressing on the left lower abdomen causes pain in the right lower abdomen (due to peritoneal irritation):contentReference[oaicite:93]{index=93}.","Το σημείο Rovsing είναι κλινικό σημείο σκωληκοειδίτιδας, κατά το οποίο η πίεση στο αριστερό κάτω μέρος της κοιλιάς προκαλεί πόνο στο δεξιό κάτω μέρος της κοιλιάς (λόγω ερεθισμού του περιτοναίου):contentReference[oaicite:94]{index=94}."
psoas sign,σημείο ψοΐτη,procedures,Clinical sign,advanced,medium,appendicitis,psoas test,The psoas sign is a clinical indicator of appendicitis (especially retrocecal appendicitis) where pain is elicited by extending the right hip (stretching the psoas muscle):contentReference[oaicite:95]{index=95}.,"Το σημείο ψοΐτη είναι κλινικός δείκτης σκωληκοειδίτιδας (ιδίως οπισθοτυφλικής σκωληκοειδίτιδας), όπου ο πόνος προκαλείται με την έκταση του δεξιού ισχίου (διάταση του ψοΐτη μυός):contentReference[oaicite:96]{index=96}."
Grey-Turner's sign,σημείο Grey-Turner,procedures,Clinical sign,advanced,low,acute pancreatitis,,"Grey-Turner's sign is the appearance of bruising (ecchymoses) on the flanks, which can indicate retroperitoneal hemorrhage, such as in acute pancreatitis:contentReference[oaicite:97]{index=97}.","Το σημείο Grey-Turner είναι η εμφάνιση εκχυμώσεων (μελανιών) στις πλευρικές περιοχές της μέσης (στα πλευρά), που μπορεί να υποδηλώνει οπισθοπεριτοναϊκή αιμορραγία, όπως στην οξεία παγκρεατίτιδα:contentReference[oaicite:98]{index=98}."
Cullen's sign,σημείο Cullen,procedures,Clinical sign,advanced,low,acute pancreatitis,,"Cullen's sign is a bluish discoloration around the umbilicus (navel) indicating intra-abdominal bleeding, classically seen in acute hemorrhagic pancreatitis:contentReference[oaicite:99]{index=99}.","Το σημείο Cullen είναι ένας κυανωπός αποχρωματισμός γύρω από τον ομφαλό που υποδηλώνει ενδοκοιλιακή αιμορραγία, κλασικά παρατηρείται σε οξεία αιμορραγική παγκρεατίτιδα:contentReference[oaicite:100]{index=100}."
bronchoscopy,βρογχοσκόπηση,procedures,Diagnostic procedure,intermediate,high,endoscopy; lungs,,"Bronchoscopy is an endoscopic technique of visualizing the inside of the airways (trachea and bronchi) using a flexible bronchoscope passed through the nose or mouth into the lungs, often to diagnose lung disease or remove foreign bodies.","Η βρογχοσκόπηση είναι μια ενδοσκοπική τεχνική οπτικοποίησης του εσωτερικού των αεραγωγών (τραχείας και βρόγχων) με χρήση ενός εύκαμπτου βρογχοσκοπίου που περνά από τη μύτη ή το στόμα στους πνεύμονες, συχνά για τη διάγνωση πνευμονικών παθήσεων ή την αφαίρεση ξένων σωμάτων."
laparotomy,λαπαροτομία,procedures,Surgical procedure,intermediate,high,laparoscopy,open surgery,"Laparotomy is a surgical procedure involving a large incision through the abdominal wall to gain access into the abdominal cavity, typically for operations on abdominal organs.","Η λαπαροτομία είναι χειρουργική διαδικασία που περιλαμβάνει μια μεγάλη τομή μέσω του κοιλιακού τοιχώματος για την πρόσβαση στην κοιλιακή κοιλότητα, συνήθως για επεμβάσεις σε όργανα της κοιλιάς."
dialysis,αιμοκάθαρση,procedures,Therapeutic procedure,basic,high,renal failure,hemodialysis,"Dialysis is a medical process that removes waste products and excess fluid from the blood when the kidneys are not functioning properly, often done by hemodialysis (blood filtration through a machine).","Η αιμοκάθαρση είναι μια ιατρική διαδικασία που απομακρύνει τα απόβλητα προϊόντα και την περίσσεια υγρών από το αίμα όταν οι νεφροί δεν λειτουργούν σωστά, συχνά γίνεται με αιμοκάθαρση (διήθηση του αίματος μέσω μηχανήματος)."
urinalysis,εξέταση ούρων,procedures,Diagnostic procedure,basic,high,urine culture,urine test,"Urinalysis is a diagnostic test of urine that includes physical, chemical, and microscopic examination to detect substances or cells that can indicate various diseases (like infection, kidney disease, diabetes).","Η εξέταση ούρων είναι μια διαγνωστική ανάλυση των ούρων που περιλαμβάνει φυσική, χημική και μικροσκοπική εξέταση για τον εντοπισμό ουσιών ή κυττάρων που μπορεί να υποδηλώνουν διάφορες παθήσεις (όπως λοίμωξη, νεφρική νόσο, διαβήτη)."
blood test,εξέταση αίματος,procedures,Diagnostic procedure,basic,high,CBC; blood chemistry,blood work,"A blood test is a laboratory analysis performed on a blood sample to evaluate health, measuring components like blood cells, electrolytes, enzymes, or markers of infection or disease.","Η εξέταση αίματος είναι μια εργαστηριακή ανάλυση που πραγματοποιείται σε δείγμα αίματος για την αξιολόγηση της υγείας, μετρώντας συστατικά όπως τα αιμοσφαίρια, οι ηλεκτρολύτες, ένζυμα ή δείκτες λοίμωξης ή νόσου."
neurological examination,νευρολογική εξέταση,procedures,Physical examination,basic,high,reflexes; cranial nerves,,"A neurological examination is an assessment of the nervous system performed by a physician, testing mental status, cranial nerves, motor and sensory function, reflexes, coordination, and gait.","Η νευρολογική εξέταση είναι μια αξιολόγηση του νευρικού συστήματος που εκτελείται από ιατρό, με δοκιμές της νοητικής κατάστασης, των κρανιακών νεύρων, της κινητικής και αισθητικής λειτουργίας, των αντανακλαστικών, του συντονισμού και της βάδισης."
